,ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
26501,5CB9DFCECF79AF84,classic_bike,2021-01-01 00:08:33,2021-01-01 00:33:53,Maine Ave & 9th St SW,31646.0,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31015.0,38.88044,-77.02523599999999,38.8946,-77.072305,member
31240,E74069873161EE33,electric_bike,2021-01-01 00:14:32,2021-01-01 00:28:45,17th & Corcoran St NW,31214.0,14th & Belmont St NW,31119.0,38.9121375,-77.03856816666666,38.9208705,-77.03169116666666,member
58160,91F95E512CABC46A,classic_bike,2021-01-01 00:15:45,2021-01-01 00:21:20,Wilson Blvd. & N. Vermont St.,31926.0,Wilson Blvd. & N. Vermont St.,31926.0,38.87947660895433,-77.11456328630446,38.87947660895433,-77.11456328630446,member
58736,DA46A05139C0EA2F,classic_bike,2021-01-01 00:17:46,2021-01-01 00:21:00,11th & Park Rd NW,31651.0,14th & Newton St NW,31649.0,38.93132185874559,-77.02824711799622,38.931991,-77.032956,member
8592,0535306B61EF92F9,classic_bike,2021-01-01 00:19:06,2021-01-01 00:36:28,Bladensburg Rd & Benning Rd NE,31617.0,Good Hope Rd & MLK Ave SE,31802.0,38.900413,-76.982872,38.867373,-76.988039,casual
19270,CB36F43FA77E4A35,docked_bike,2021-01-01 00:21:19,2021-01-01 00:33:31,15th & F St NE,31632.0,1st & M St SE,31650.0,38.897195,-76.983575,38.876893,-77.006072,casual
97430,874D92427D41BC30,classic_bike,2021-01-01 00:21:39,2021-01-01 00:31:07,14th & Otis Pl NW,31131.0,14th & R St NW,31202.0,38.934405,-77.032687,38.913046,-77.03200799999999,member
76528,24ECE930048A9B67,classic_bike,2021-01-01 00:23:05,2021-01-01 00:37:02,Lincoln Park / 13th & East Capitol St NE ,31619.0,Lincoln Park / 13th & East Capitol St NE ,31619.0,38.890461,-76.988355,38.890461,-76.988355,casual
96697,1DE392338FF58AC7,classic_bike,2021-01-01 00:24:12,2021-01-01 00:47:54,Henry Bacon Dr & Lincoln Memorial Circle NW,31289.0,14th St & New York Ave NW,31216.0,38.890539000000004,-77.04938299999999,38.899632000000004,-77.031686,casual
98158,DA579474AAD89387,classic_bike,2021-01-01 00:24:12,2021-01-01 00:47:47,Henry Bacon Dr & Lincoln Memorial Circle NW,31289.0,14th St & New York Ave NW,31216.0,38.890539000000004,-77.04938299999999,38.899632000000004,-77.031686,casual
98152,64D4C859EC0B8D60,classic_bike,2021-01-01 00:24:42,2021-01-01 00:48:47,Henry Bacon Dr & Lincoln Memorial Circle NW,31289.0,14th St & New York Ave NW,31216.0,38.890539000000004,-77.04938299999999,38.899632000000004,-77.031686,casual
60790,D6C335523A37C07F,classic_bike,2021-01-01 00:25:52,2021-01-01 00:28:05,3000 Connecticut Ave NW / National Zoo,31307.0,Connecticut Ave & Newark St NW / Cleveland Park,31305.0,38.930282,-77.055599,38.934267,-77.057979,member
92192,17735EE76B4D0CA3,classic_bike,2021-01-01 00:26:03,2021-01-01 00:34:40,14th & Belmont St NW,31119.0,11th & M St NW,31266.0,38.921074,-77.031887,38.9055785,-77.027313,member
2360,6848BF9018E975C2,classic_bike,2021-01-01 00:26:06,2021-01-01 00:50:45,Oklahoma Ave & Benning Rd NE,31719.0,Columbus Circle / Union Station,31623.0,38.8974996,-76.9695094,38.89696,-77.00493,member
97760,6B4631D4B1BCB9BB,docked_bike,2021-01-01 00:26:51,2021-01-01 00:47:48,Henry Bacon Dr & Lincoln Memorial Circle NW,31289.0,14th St & New York Ave NW,31216.0,38.890539000000004,-77.04938299999999,38.899632000000004,-77.031686,casual
95295,B0657CE2D8410E55,electric_bike,2021-01-01 00:26:54,2021-01-01 00:55:11,14th & Belmont St NW,31119.0,14th & Belmont St NW,31119.0,38.92104116666667,-77.03201166666666,38.92090733333333,-77.0318305,member
26072,E20B244F193B5774,classic_bike,2021-01-01 00:34:28,2021-01-01 00:42:22,22nd & I St NW / Foggy Bottom,31257.0,10th & K St NW,31263.0,38.90088,-77.048911,38.9024,-77.02622,casual
78087,0DAB1CD4EFED0037,classic_bike,2021-01-01 00:36:10,2021-01-01 00:39:57,Lincoln Park / 13th & East Capitol St NE ,31619.0,7th St & Massachusetts Ave NE,31647.0,38.890461,-76.988355,38.89222,-76.99602,member
78093,9026188B4694C539,classic_bike,2021-01-01 00:36:37,2021-01-01 00:39:57,Lincoln Park / 13th & East Capitol St NE ,31619.0,7th St & Massachusetts Ave NE,31647.0,38.890461,-76.988355,38.89222,-76.99602,member
16965,1D12F2455A372283,electric_bike,2021-01-01 00:40:45,2021-01-01 01:05:09,7th St & Massachusetts Ave NE,31647.0,15th & W St NW,31125.0,38.892209333333334,-76.99593266666666,38.91904783333333,-77.03445933333333,member
17654,A4FB36E490BA300A,electric_bike,2021-01-01 00:40:52,2021-01-01 01:05:58,7th St & Massachusetts Ave NE,31647.0,15th & W St NW,31125.0,38.892140000000005,-76.99593816666666,38.9190575,-77.03445383333333,member
22303,D4AABCA04BFC6D65,classic_bike,2021-01-01 00:42:00,2021-01-01 00:50:11,14th & Newton St NW,31649.0,New Hampshire Ave & T St NW,31229.0,38.931991,-77.032956,38.915544,-77.038252,member
9919,3AF0E3F8583D6852,classic_bike,2021-01-01 00:44:19,2021-01-01 00:53:46,Smithsonian-National Mall / Jefferson Dr & 12th St SW,31248.0,12th & L St NW,31251.0,38.888774,-77.02869399999999,38.903819,-77.0284,casual
9916,9EA9D33D562C42B5,classic_bike,2021-01-01 00:44:38,2021-01-01 00:53:45,Smithsonian-National Mall / Jefferson Dr & 12th St SW,31248.0,12th & L St NW,31251.0,38.888774,-77.02869399999999,38.903819,-77.0284,member
31082,AF8AD3FF491BA197,classic_bike,2021-01-01 00:45:02,2021-01-01 00:55:05,11th & M St NW,31266.0,14th & Belmont St NW,31119.0,38.9055785,-77.027313,38.921074,-77.031887,member
15112,A211FE8F23EDB8AB,classic_bike,2021-01-01 00:47:51,2021-01-01 01:00:14,10th & Florida Ave NW,31120.0,3rd & M St NE,31627.0,38.920387,-77.025672,38.90546971494327,-77.0021304488182,member
66461,137C9E0ED6C16841,docked_bike,2021-01-01 00:47:55,2021-01-01 03:04:53,12th & L St NW,31251.0,7th & K St NW,31653.0,38.903819,-77.0284,38.902674,-77.021392,casual
73967,EBFB3923B9F73591,classic_bike,2021-01-01 00:48:05,2021-01-01 00:57:50,1st & Rhode Island Ave NW,31506.0,11th & Girard St NW,31126.0,38.915417,-77.012289,38.925636,-77.027112,member
27347,6E6BF3F4BF0BFEF4,classic_bike,2021-01-01 00:51:02,2021-01-01 01:15:59,Columbus Circle / Union Station,31623.0,USDA / 12th & C St SW,31217.0,38.89696,-77.00493,38.886276945065106,-77.02824175357819,member
49690,5B85355F6951C1E8,classic_bike,2021-01-01 00:52:46,2021-01-01 01:03:54,1st & M St NE,31603.0,11th & O St NW,31286.0,38.905696999999996,-77.005483,38.908429999999996,-77.02714,member
74412,82E2738F5C317B3C,classic_bike,2021-01-01 00:53:45,2021-01-01 00:54:47,Rhode Island Ave Metro,31516.0,Rhode Island Ave Metro,31516.0,38.920682,-76.995876,38.920682,-76.995876,casual
74131,A1E71900CCA9E740,classic_bike,2021-01-01 00:54:04,2021-01-01 01:03:00,Rhode Island Ave Metro,31516.0,Rhode Island Ave Metro,31516.0,38.920682,-76.995876,38.920682,-76.995876,member
59215,F84DAEFFFB08EB0C,classic_bike,2021-01-01 00:54:31,2021-01-01 01:07:47,22nd & P ST NW,31285.0,14th & Newton St NW,31649.0,38.909394,-77.048728,38.931991,-77.032956,member
34727,091DC949ADE34CB1,classic_bike,2021-01-01 00:57:14,2021-01-01 01:07:11,14th & G St NW,31238.0,New Jersey Ave & N St NW/Dunbar HS,31636.0,38.898409,-77.032278,38.90733256111448,-77.01536044478415,member
37523,31584A6CEEE83CB7,docked_bike,2021-01-01 00:59:41,2021-01-01 01:27:52,Thomas Circle,31241.0,Thomas Circle,31241.0,38.9059,-77.0325,38.9059,-77.0325,casual
37409,7779B21BCBA77791,docked_bike,2021-01-01 00:59:44,2021-01-01 01:27:55,Thomas Circle,31241.0,Thomas Circle,31241.0,38.9059,-77.0325,38.9059,-77.0325,casual
31845,19A0334B6273E073,classic_bike,2021-01-01 01:00:29,2021-01-01 01:09:00,3rd & M St NE,31627.0,Neal St & Trinidad Ave NE,31512.0,38.90546971494327,-77.0021304488182,38.903732,-76.987211,casual
31844,F6754C6E317BB084,classic_bike,2021-01-01 01:00:56,2021-01-01 01:09:01,3rd & M St NE,31627.0,Neal St & Trinidad Ave NE,31512.0,38.90546971494327,-77.0021304488182,38.903732,-76.987211,casual
98865,24B315B1D978156B,classic_bike,2021-01-01 01:02:41,2021-01-01 01:13:44,Massachusetts Ave & Dupont Circle NW,31200.0,4th St & K St NW,31642.0,38.9101,-77.0444,38.90240556584194,-77.01600551605225,member
20371,0A2A7C3D3ABBCFA6,classic_bike,2021-01-01 01:02:47,2021-01-01 01:11:29,Connecticut Ave & R St NW,31299.0,12th & L St NW,31251.0,38.912644,-77.04564,38.903819,-77.0284,member
10097,0B49C988084BD00E,classic_bike,2021-01-01 01:02:57,2021-01-01 01:11:35,Connecticut Ave & R St NW,31299.0,12th & L St NW,31251.0,38.912644,-77.04564,38.903819,-77.0284,member
46904,6E280B1E56EA3F93,classic_bike,2021-01-01 01:03:30,2021-01-01 01:43:22,Rhode Island Ave Metro,31516.0,Oklahoma Ave & Benning Rd NE,31719.0,38.920682,-76.995876,38.8974996,-76.9695094,casual
20757,9B229D84329221A6,electric_bike,2021-01-01 01:08:13,2021-01-01 01:22:36,4th St & K St NW,31642.0,Potomac & Pennsylvania Ave SE,31606.0,38.90239616666667,-77.01593216666667,38.88032283333333,-76.9862875,member
96319,34CB6FC36C4B66D4,classic_bike,2021-01-01 01:08:55,2021-01-01 01:18:51,14th & Belmont St NW,31119.0,Georgia & New Hampshire Ave NW,31400.0,38.921074,-77.031887,38.9366839345886,-77.02418088912964,casual
2853,D2B9DB2BD50BC7B5,classic_bike,2021-01-01 01:11:00,2021-01-01 01:14:17,7th & R St NW / Shaw Library,31245.0,14th & R St NW,31202.0,38.912719,-77.022155,38.913046,-77.03200799999999,member
8540,57706CB21E210589,electric_bike,2021-01-01 01:11:03,2021-01-01 01:23:24,7th & R St NW / Shaw Library,31245.0,Columbia Rd & Belmont St NW,31113.0,38.912720666666665,-77.02263416666666,38.920693,-77.04368066666666,member
57838,C2B9E04A2B5B3294,classic_bike,2021-01-01 01:12:00,2021-01-01 01:22:16,Metro Center / 12th & G St NW,31230.0,14th & Q St NW,31327.0,38.898364,-77.027869,38.910674,-77.03188,member
57986,D0783076899D20CD,classic_bike,2021-01-01 01:12:06,2021-01-01 01:22:11,Metro Center / 12th & G St NW,31230.0,14th & Q St NW,31327.0,38.898364,-77.027869,38.910674,-77.03188,casual
57485,4C5CF8CFD4D060C0,electric_bike,2021-01-01 01:14:02,2021-01-01 01:23:08,Thomas Circle,31241.0,14th & Girard St NW,31123.0,38.90588416666667,-77.03256666666667,38.925365166666666,-77.032434,member
65645,FFB5F5FD72069998,classic_bike,2021-01-01 01:15:25,2021-01-01 01:46:31,1st & M St NE,31603.0,Calvert St & Woodley Pl NW,31121.0,38.905696999999996,-77.005483,38.923583,-77.050046,casual
72471,6650C637A12E03EF,electric_bike,2021-01-01 01:16:00,2021-01-01 01:27:07,Columbia Rd & Georgia Ave NW,31115.0,11th & M St NW,31266.0,38.92809666666667,-77.02379,38.90561316666667,-77.027305,member
34236,1D45E73F1271AFFC,electric_bike,2021-01-01 01:16:38,2021-01-01 01:39:50,Massachusetts Ave & 6th St NE,31657.0,Massachusetts Ave & 6th St NE,31657.0,38.89296616666667,-76.99828683333334,38.892975,-76.998299,casual
98168,C899FF4529555FF1,classic_bike,2021-01-01 01:19:52,2021-01-01 01:41:32,Henry Bacon Dr & Lincoln Memorial Circle NW,31289.0,Thomas Circle,31241.0,38.890539000000004,-77.04938299999999,38.9059,-77.0325,member
22872,9027111C548DC1C5,classic_bike,2021-01-01 01:20:34,2021-01-01 01:22:16,Clarendon Blvd & Pierce St,31016.0,N Lynn St & Fairfax Dr,31917.0,38.893438,-77.076389,38.89386,-77.070862,member
80797,D9BEA1F783DE05DF,classic_bike,2021-01-01 01:21:17,2021-01-01 01:29:34,14th & R St NW,31202.0,1st & O St NW,31519.0,38.913046,-77.03200799999999,38.908643,-77.012365,casual
53083,08A1F3837A9CF7F1,classic_bike,2021-01-01 01:22:31,2021-01-01 01:27:31,Virginia Square Metro / Monroe St & 9th St N,31024.0,Fairfax Dr & Wilson Blvd,31023.0,38.882788,-77.103148,38.885801,-77.09774499999999,member
55642,B2AE154E52BA6DBA,classic_bike,2021-01-01 01:23:43,2021-01-01 01:36:14,15th St & N Scott St,31031.0,M St & Pennsylvania Ave NW,31246.0,38.89054,-77.08095,38.905126,-77.056887,casual
