ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,start_cluster,end_cluster,total_time,total_distance
3F181C3C6111CA3D,classic_bike,2021-02-27 01:42:20,2021-02-27 01:44:45,17th St & Massachusetts Ave NW,31267,Thomas Circle,31241,38.908142,-77.038359,38.9059,-77.0325,member,0,0,2,0.5658821892762771
D0FCAB9E7F899CCE,electric_bike,2021-02-27 00:12:26,2021-02-27 00:31:31,16th & Harvard St NW,31103,6th & K St NE,31645,38.926078000000004,-77.036698,38.90306983333333,-76.99847066666666,casual,5,1,19,4.185264406282027
6BFA1991ECAE74DD,classic_bike,2021-02-27 00:04:55,2021-02-27 00:20:56,31st & Water St NW,31293,16th & Harvard St NW,31103,38.902814,-77.06104300000001,38.926088,-77.036536,casual,8,5,16,3.34566506368408
D7713F9E1AD9D249,classic_bike,2021-02-27 00:53:04,2021-02-27 00:56:47,14th & Otis Pl NW,31131,14th & Irving St NW,31124,38.934405,-77.032687,38.928552,-77.032224,member,5,5,3,0.6510050374104274
1E868C8CD3BE889F,classic_bike,2021-02-27 00:57:50,2021-02-27 01:01:46,12th & L St NW,31251,14th & Rhode Island Ave NW,31203,38.903819,-77.0284,38.9086,-77.0323,member,7,0,3,0.62939777520069
6FAC5FAB54A1E69B,classic_bike,2021-02-27 00:26:26,2021-02-27 00:30:27,18th St & Wyoming Ave NW,31114,Columbia & Ontario Rd NW,31296,38.918809,-77.04157099999999,38.924088,-77.040787,member,5,5,4,0.5899735909923375
BE2686CFE75F2CD7,classic_bike,2021-02-27 01:49:35,2021-02-27 01:51:52,Reservoir Rd & 38th St NW,31325,Reservoir Rd & 38th St NW,31325,38.91261359469192,-77.07432264076488,38.91261359469192,-77.07432264076488,casual,8,8,2,0.0
307B22699C624675,classic_bike,2021-02-27 00:28:18,2021-02-27 00:31:49,20th St & Florida Ave NW,31110,22nd & P ST NW,31285,38.9154,-77.0446,38.909394,-77.048728,member,5,0,3,0.7567976826635652
063E6DC74D128AEA,classic_bike,2021-02-27 01:25:46,2021-02-27 01:48:49,17th St & Massachusetts Ave NW,31267,1st & M St SE,31650,38.908142,-77.038359,38.876893,-77.006072,casual,0,1,23,4.458779585576843
E1F64C7E8C565C3A,classic_bike,2021-02-27 01:02:28,2021-02-27 01:34:07,18th & New Hampshire Ave NW,31324,18th & New Hampshire Ave NW,31324,38.911268,-77.041829,38.911268,-77.041829,member,0,0,31,0.0
