group,value
0.0,1071.0
1.0,508.0
2.0,312.0
3.0,309.0
4.0,477.0
5.0,1058.0
6.0,3695.0
7.0,7805.0
8.0,11116.0
9.0,10586.0
10.0,12060.0
11.0,23440.0
12.0,26886.0
13.0,47705.0
14.0,34679.0
15.0,57209.0
16.0,63082.0
17.0,45858.0
18.0,33850.0
19.0,16439.0
20.0,10082.0
21.0,18318.0
22.0,7268.0
23.0,3479.0
