,ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
77707,85974F6750D03155,classic_bike,2021-01-04 05:11:11,2021-01-04 05:19:22,17th & G St NW,31277.0,8th & D St NW,31270.0,38.89828294952361,-77.03973233699799,38.894851,-77.02324,member
58235,14795CCD7A3E02C7,classic_bike,2021-01-04 05:12:16,2021-01-04 05:43:55,Fairfax Village,31706.0,Benning Rd & East Capitol St NE / Benning Rd Metro,31707.0,38.865590000000005,-76.95210300000001,38.889934999999994,-76.93723,casual
30567,8D7AB1FAB87D9EF8,classic_bike,2021-01-04 05:17:52,2021-01-04 05:25:58,15th & East Capitol St NE,31630.0,6th & H St NE,31615.0,38.889908,-76.983326,38.899972,-76.998347,member
39131,847BA736802EE796,classic_bike,2021-01-04 05:35:04,2021-01-04 05:38:53,4th & M St SW,31108.0,4th & E St SW,31244.0,38.876697,-77.0178975,38.88412,-77.017445,member
59715,93D81BE612C24510,classic_bike,2021-01-04 05:35:33,2021-01-04 05:53:07,Connecticut Ave & Newark St NW / Cleveland Park,31305.0,34th St & Wisconsin Ave NW,31226.0,38.934267,-77.057979,38.916441999999996,-77.0682,member
98686,A0906BC36236A342,electric_bike,2021-01-04 05:43:55,2021-01-04 05:45:50,14th & Otis Pl NW,31131.0,14th & Otis Pl NW,31131.0,38.9343695,-77.03266083333334,38.9343835,-77.03267266666667,casual
74687,03D9F5541E54C940,classic_bike,2021-01-04 05:45:57,2021-01-04 05:53:06,8th & East Capitol St NE,31629.0,3rd & G St SE,31625.0,38.889988,-76.995193,38.881184999999995,-77.001828,member
98685,7F74D260ADE8EA96,electric_bike,2021-01-04 05:47:28,2021-01-04 05:56:36,14th & Otis Pl NW,31131.0,Massachusetts Ave & Dupont Circle NW,31200.0,38.934277,-77.03268333333334,38.91012166666667,-77.044257,casual
61062,1C005E2FAB8C8AAC,electric_bike,2021-01-04 05:48:37,2021-01-04 06:00:23,1st & M St NE,31603.0,10th & E St NW,31256.0,38.905657,-77.00569333333334,38.89598133333333,-77.02566116666667,member
48990,B92606299B73AEB3,classic_bike,2021-01-04 05:49:10,2021-01-04 05:53:45,7th & T St NW,31109.0,15th & P St NW,31201.0,38.9155,-77.0222,38.909867999999996,-77.034421,member
