group,Member,Casual
0,13252.0,22469.0
1,6128.0,21499.0
2,3075.0,6467.0
3,1558.0,2806.0
4,3213.0,4608.0
5,9849.0,5305.0
6,36429.0,23625.0
7,77408.0,50557.0
8,106894.0,79443.0
9,102342.0,100491.0
10,110019.0,227164.0
11,140326.0,284973.0
12,173913.0,380958.0
13,183427.0,512121.0
14,193423.0,494225.0
15,211499.0,462959.0
16,248892.0,499300.0
17,269239.0,428209.0
18,202845.0,299524.0
19,123035.0,237155.0
20,72561.0,132917.0
21,44123.0,98381.0
22,32773.0,109706.0
23,20695.0,61456.0
